n_female,n_male,class_size,student_count
0.0,14.0,14.0,25
1.0,13.0,14.0,30
2.0,12.0,14.0,21
3.0,11.0,14.0,33
4.0,10.0,14.0,21
5.0,9.0,14.0,4
6.0,8.0,14.0,8
7.0,7.0,14.0,3
8.0,6.0,14.0,4
9.0,5.0,14.0,5
10.0,4.0,14.0,4
11.0,3.0,14.0,3
12.0,2.0,14.0,2
13.0,1.0,14.0,5
14.0,0.0,14.0,5
0.0,15.0,15.0,45
1.0,14.0,15.0,39
2.0,13.0,15.0,41
3.0,12.0,15.0,39
4.0,11.0,15.0,47
5.0,10.0,15.0,46
6.0,9.0,15.0,10
7.0,8.0,15.0,5
8.0,7.0,15.0,8
9.0,6.0,15.0,10
10.0,5.0,15.0,5
11.0,4.0,15.0,8
12.0,3.0,15.0,9
13.0,2.0,15.0,4
14.0,1.0,15.0,10
15.0,0.0,15.0,5
0.0,16.0,16.0,37
1.0,15.0,16.0,48
2.0,14.0,16.0,56
3.0,13.0,16.0,36
4.0,12.0,16.0,43
5.0,11.0,16.0,49
6.0,10.0,16.0,44
7.0,9.0,16.0,10
8.0,8.0,16.0,15
9.0,7.0,16.0,16
10.0,6.0,16.0,24
11.0,5.0,16.0,9
12.0,4.0,16.0,16
13.0,3.0,16.0,17
14.0,2.0,16.0,19
15.0,1.0,16.0,21
16.0,0.0,16.0,18
0.0,17.0,17.0,92
1.0,16.0,17.0,90
2.0,15.0,17.0,84
3.0,14.0,17.0,72
4.0,13.0,17.0,85
5.0,12.0,17.0,87
6.0,11.0,17.0,98
7.0,10.0,17.0,90
8.0,9.0,17.0,33
9.0,8.0,17.0,29
10.0,7.0,17.0,25
11.0,6.0,17.0,21
12.0,5.0,17.0,29
13.0,4.0,17.0,28
14.0,3.0,17.0,30
15.0,2.0,17.0,25
16.0,1.0,17.0,28
17.0,0.0,17.0,22
0.0,18.0,18.0,44
1.0,17.0,18.0,48
2.0,16.0,18.0,41
3.0,15.0,18.0,41
4.0,14.0,18.0,38
5.0,13.0,18.0,53
6.0,12.0,18.0,44
7.0,11.0,18.0,45
8.0,10.0,18.0,39
9.0,9.0,18.0,12
10.0,8.0,18.0,14
11.0,7.0,18.0,13
12.0,6.0,18.0,16
13.0,5.0,18.0,15
14.0,4.0,18.0,8
15.0,3.0,18.0,16
16.0,2.0,18.0,12
17.0,1.0,18.0,9
18.0,0.0,18.0,9
0.0,19.0,19.0,74
1.0,18.0,19.0,67
2.0,17.0,19.0,73
3.0,16.0,19.0,61
4.0,15.0,19.0,78
5.0,14.0,19.0,76
6.0,13.0,19.0,71
7.0,12.0,19.0,62
8.0,11.0,19.0,71
9.0,10.0,19.0,63
10.0,9.0,19.0,26
11.0,8.0,19.0,17
12.0,7.0,19.0,22
13.0,6.0,19.0,29
14.0,5.0,19.0,23
15.0,4.0,19.0,13
16.0,3.0,19.0,25
17.0,2.0,19.0,22
18.0,1.0,19.0,20
19.0,0.0,19.0,14
0.0,20.0,20.0,70
1.0,19.0,20.0,75
2.0,18.0,20.0,86
3.0,17.0,20.0,76
4.0,16.0,20.0,71
5.0,15.0,20.0,89
6.0,14.0,20.0,82
7.0,13.0,20.0,64
8.0,12.0,20.0,89
9.0,11.0,20.0,91
10.0,10.0,20.0,94
11.0,9.0,20.0,29
12.0,8.0,20.0,34
13.0,7.0,20.0,21
14.0,6.0,20.0,31
15.0,5.0,20.0,22
16.0,4.0,20.0,29
17.0,3.0,20.0,26
18.0,2.0,20.0,16
19.0,1.0,20.0,26
20.0,0.0,20.0,37
0.0,21.0,21.0,115
1.0,20.0,21.0,121
2.0,19.0,21.0,83
3.0,18.0,21.0,101
4.0,17.0,21.0,100
5.0,16.0,21.0,104
6.0,15.0,21.0,93
7.0,14.0,21.0,118
8.0,13.0,21.0,98
9.0,12.0,21.0,109
10.0,11.0,21.0,102
11.0,10.0,21.0,90
12.0,9.0,21.0,42
13.0,8.0,21.0,33
14.0,7.0,21.0,35
15.0,6.0,21.0,45
16.0,5.0,21.0,32
17.0,4.0,21.0,32
18.0,3.0,21.0,36
19.0,2.0,21.0,46
20.0,1.0,21.0,36
21.0,0.0,21.0,39
0.0,22.0,22.0,127
1.0,21.0,22.0,119
2.0,20.0,22.0,103
3.0,19.0,22.0,111
4.0,18.0,22.0,131
5.0,17.0,22.0,97
6.0,16.0,22.0,121
7.0,15.0,22.0,118
8.0,14.0,22.0,82
9.0,13.0,22.0,123
10.0,12.0,22.0,111
11.0,11.0,22.0,118
12.0,10.0,22.0,112
13.0,9.0,22.0,34
14.0,8.0,22.0,33
15.0,7.0,22.0,50
16.0,6.0,22.0,32
17.0,5.0,22.0,34
18.0,4.0,22.0,41
19.0,3.0,22.0,35
20.0,2.0,22.0,41
21.0,1.0,22.0,34
22.0,0.0,22.0,35
0.0,23.0,23.0,64
1.0,22.0,23.0,57
2.0,21.0,23.0,54
3.0,20.0,23.0,43
4.0,19.0,23.0,46
5.0,18.0,23.0,54
6.0,17.0,23.0,66
7.0,16.0,23.0,66
8.0,15.0,23.0,56
9.0,14.0,23.0,55
10.0,13.0,23.0,54
11.0,12.0,23.0,58
12.0,11.0,23.0,44
13.0,10.0,23.0,57
14.0,9.0,23.0,14
15.0,8.0,23.0,19
16.0,7.0,23.0,17
17.0,6.0,23.0,11
18.0,5.0,23.0,22
19.0,4.0,23.0,17
20.0,3.0,23.0,21
21.0,2.0,23.0,16
22.0,1.0,23.0,16
23.0,0.0,23.0,21
0.0,24.0,24.0,49
1.0,23.0,24.0,62
2.0,22.0,24.0,56
3.0,21.0,24.0,45
4.0,20.0,24.0,49
5.0,19.0,24.0,58
6.0,18.0,24.0,50
7.0,17.0,24.0,55
8.0,16.0,24.0,50
9.0,15.0,24.0,71
10.0,14.0,24.0,59
