index,number_of_siblings,direct_admission,CCA,learning_style,student_id,gender,tuition,final_test,n_male,n_female,age,hours_per_week,attendance_rate,sleep_time,wake_time,mode_of_transport,bag_color,sleep_duration,sleep_lessthan6hrs,class_size,female_ratio,class_size_group,class_size_tertile
0,0,Yes,Sports,Visual,ACN2BE,Female,No,69.0,14.0,2.0,16.0,10.0,91.0,22:00,6:00,private transport,yellow,8.0,False,16.0,0.125,Small (14-19),Lower (14-21)
1,2,No,Sports,Auditory,FGXIIZ,Female,No,47.0,4.0,19.0,16.0,7.0,94.0,22:30,6:30,private transport,green,8.0,False,23.0,0.8260869565217391,Medium (20-24),Middle (22-25)
2,0,Yes,None,Visual,B9AI9F,Male,No,85.0,14.0,2.0,15.0,8.0,92.0,22:30,6:30,private transport,white,8.0,False,16.0,0.125,Small (14-19),Lower (14-21)
3,1,No,Clubs,Auditory,FEVM1T,Female,Yes,64.0,2.0,20.0,15.0,18.0,,21:00,5:00,public transport,yellow,8.0,False,22.0,0.9090909090909091,Medium (20-24),Middle (22-25)
4,0,No,Sports,Auditory,AXZN2E,Male,No,66.0,24.0,3.0,16.0,7.0,95.0,21:30,5:30,public transport,yellow,8.0,False,27.0,0.1111111111111111,Large (25-31),Higher (26-31)
5,0,No,Arts,Visual,BA6R14,Female,No,57.0,9.0,12.0,15.0,11.0,96.0,22:30,6:30,private transport,red,8.0,False,21.0,0.5714285714285714,Medium (20-24),Lower (14-21)
6,2,Yes,None,Visual,D5WGTI,Male,No,69.0,12.0,3.0,16.0,15.0,93.0,21:30,5:30,public transport,green,8.0,False,15.0,0.2,Small (14-19),Lower (14-21)
7,0,No,Sports,Visual,HTP8CW,Male,No,76.0,20.0,2.0,15.0,3.0,97.0,21:00,5:00,public transport,green,8.0,False,22.0,0.09090909090909091,Medium (20-24),Middle (22-25)
8,0,No,Arts,Auditory,U3YRTC,Male,No,57.0,20.0,7.0,15.0,15.0,98.0,22:00,6:00,private transport,red,8.0,False,27.0,0.25925925925925924,Large (25-31),Higher (26-31)
9,2,No,Arts,Auditory,3MOMA6,Male,Yes,60.0,13.0,9.0,16.0,16.0,,22:30,6:30,private transport,green,8.0,False,22.0,0.4090909090909091,Medium (20-24),Middle (22-25)
