student_id,column,values
AXZN2E,index,"[np.int64(4), np.int64(15399)]"
T4U89N,index,"[np.int64(12), np.int64(4879)]"
T4U89N,bag_color,"['green', 'black']"
G0JBVS,index,"[np.int64(14), np.int64(15841)]"
G0JBVS,bag_color,"['white', 'green']"
HJ6Y5P,index,"[np.int64(21), np.int64(7981)]"
HJ6Y5P,bag_color,"['red', 'yellow']"
PQ059G,index,"[np.int64(24), np.int64(752)]"
PQ059G,bag_color,"['red', 'white']"
OF3DU8,index,"[np.int64(28), np.int64(9943)]"
OF3DU8,bag_color,"['yellow', 'green']"
2HD89P,index,"[np.int64(40), np.int64(2378)]"
2HD89P,bag_color,"['yellow', 'blue']"
OPWOR2,index,"[np.int64(57), np.int64(6041)]"
OPWOR2,bag_color,"['green', 'red']"
7XH8AD,index,"[np.int64(67), np.int64(8057)]"
7XH8AD,bag_color,"['yellow', 'green']"
903WGD,index,"[np.int64(71), np.int64(15539)]"
V8PSZ4,index,"[np.int64(73), np.int64(2587)]"
V8PSZ4,bag_color,"['green', 'black']"
7EPPQG,index,"[np.int64(82), np.int64(5055)]"
7EPPQG,bag_color,"['red', 'yellow']"
EAZDA8,index,"[np.int64(83), np.int64(5078)]"
EAZDA8,bag_color,"['blue', 'white']"
MB9F8E,index,"[np.int64(87), np.int64(9062)]"
MB9F8E,bag_color,"['blue', 'white']"
QCJ1S2,index,"[np.int64(93), np.int64(10701)]"
QCJ1S2,bag_color,"['blue', 'yellow']"
WQCJ0U,index,"[np.int64(94), np.int64(8805)]"
WQCJ0U,bag_color,"['green', 'blue']"
U9XHGZ,index,"[np.int64(112), np.int64(14291)]"
U9XHGZ,bag_color,"['black', 'yellow']"
2QYBOU,index,"[np.int64(114), np.int64(1090)]"
2QYBOU,bag_color,"['black', 'blue']"
GKO7VX,index,"[np.int64(115), np.int64(10228)]"
GKO7VX,bag_color,"['green', 'white']"
ED45O1,index,"[np.int64(122), np.int64(8256)]"
ED45O1,bag_color,"['green', 'red']"
7N3MXK,index,"[np.int64(124), np.int64(10731)]"
7N3MXK,bag_color,"['green', 'white']"
6F1PTH,index,"[np.int64(129), np.int64(9252)]"
6F1PTH,bag_color,"['yellow', 'blue']"
WHO5I7,index,"[np.int64(137), np.int64(2264)]"
FR8U8M,index,"[np.int64(145), np.int64(13715)]"
FR8U8M,bag_color,"['yellow', 'blue']"
LDFJ01,index,"[np.int64(156), np.int64(5006)]"
LDFJ01,bag_color,"['black', 'green']"
BW7ZBA,index,"[np.int64(172), np.int64(5606)]"
BW7ZBA,bag_color,"['blue', 'yellow']"
LX6SSC,index,"[np.int64(196), np.int64(10867)]"
25PAWM,index,"[np.int64(199), np.int64(8285)]"
25PAWM,bag_color,"['black', 'blue']"
1R0VBB,index,"[np.int64(201), np.int64(1532)]"
W8KTLE,index,"[np.int64(205), np.int64(1035)]"
W8KTLE,bag_color,"['black', 'red']"
N5WCG8,index,"[np.int64(226), np.int64(4704)]"
N5WCG8,bag_color,"['blue', 'white']"
TFY0BH,index,"[np.int64(227), np.int64(8632)]"
TFY0BH,bag_color,"['red', 'green']"
AJJNSG,index,"[np.int64(235), np.int64(14720)]"
AJJNSG,bag_color,"['red', 'white']"
VIDY9K,index,"[np.int64(246), np.int64(9691)]"
VIDY9K,bag_color,"['black', 'yellow']"
K64994,index,"[np.int64(257), np.int64(13756)]"
SCKIOA,index,"[np.int64(271), np.int64(8983)]"
SCKIOA,bag_color,"['red', 'white']"
0WO2AI,index,"[np.int64(287), np.int64(2984)]"
0WO2AI,bag_color,"['blue', 'green']"
3FMLCM,index,"[np.int64(305), np.int64(1714)]"
3FMLCM,bag_color,"['yellow', 'black']"
80LBPQ,index,"[np.int64(308), np.int64(2428)]"
80LBPQ,bag_color,"['white', 'blue']"
2K1Q2R,index,"[np.int64(311), np.int64(10661)]"
2K1Q2R,bag_color,"['green', 'white']"
5EM4RO,index,"[np.int64(321), np.int64(10073)]"
OLJV0J,index,"[np.int64(326), np.int64(15507)]"
OLJV0J,bag_color,"['blue', 'yellow']"
L0OK42,index,"[np.int64(327), np.int64(3858)]"
L0OK42,bag_color,"['red', 'yellow']"
8ZNAVQ,index,"[np.int64(335), np.int64(9527)]"
8ZNAVQ,bag_color,"['black', 'yellow']"
47707Q,index,"[np.int64(338), np.int64(10408)]"
47707Q,bag_color,"['green', 'white']"
Q3R2ER,index,"[np.int64(355), np.int64(7550)]"
Q3R2ER,bag_color,"['blue', 'yellow']"
7OQM9D,index,"[np.int64(360), np.int64(455)]"
7OQM9D,bag_color,"['green', 'black']"
8KR3MD,index,"[np.int64(370), np.int64(1721)]"
8KR3MD,bag_color,"['blue', 'yellow']"
CZLOYU,index,"[np.int64(376), np.int64(11732)]"
CZLOYU,bag_color,"['blue', 'yellow']"
XR11CB,index,"[np.int64(384), np.int64(2835)]"
XR11CB,bag_color,"['blue', 'yellow']"
GK0NVK,index,"[np.int64(388), np.int64(8454)]"
GK0NVK,bag_color,"['black', 'white']"
3OU750,index,"[np.int64(401), np.int64(14168)]"
3OU750,bag_color,"['green', 'white']"
KAHG9F,index,"[np.int64(436), np.int64(14669)]"
KAHG9F,bag_color,"['red', 'blue']"
E6LTY8,index,"[np.int64(441), np.int64(11668)]"
E6LTY8,bag_color,"['blue', 'green']"
N5YKWO,index,"[np.int64(442), np.int64(3641)]"
NKL394,index,"[np.int64(443), np.int64(8870)]"
NKL394,bag_color,"['red', 'blue']"
CA9MZN,index,"[np.int64(452), np.int64(4003)]"
CA9MZN,bag_color,"['red', 'blue']"
PY1HX9,index,"[np.int64(476), np.int64(11184)]"
PY1HX9,bag_color,"['white', 'blue']"
8JC0WC,index,"[np.int64(499), np.int64(5782)]"
8JC0WC,bag_color,"['blue', 'white']"
C6M33N,index,"[np.int64(505), np.int64(15575)]"
3628TM,index,"[np.int64(510), np.int64(15781)]"
3628TM,bag_color,"['black', 'white']"
WDJ3N0,index,"[np.int64(524), np.int64(2565)]"
WDJ3N0,bag_color,"['red', 'yellow']"
COREAN,index,"[np.int64(541), np.int64(11880)]"
COREAN,bag_color,"['red', 'white']"
BE3SFP,index,"[np.int64(545), np.int64(2247)]"
BE3SFP,bag_color,"['yellow', 'white']"
6C1Y18,index,"[np.int64(546), np.int64(4080)]"
6C1Y18,bag_color,"['black', 'white']"
NINS6Y,index,"[np.int64(547), np.int64(10108)]"
NINS6Y,bag_color,"['green', 'white']"
AZT8DU,index,"[np.int64(550), np.int64(3588)]"
AZT8DU,bag_color,"['yellow', 'white']"
BCJD1T,index,"[np.int64(569), np.int64(8476)]"
8J3LLV,index,"[np.int64(587), np.int64(10134)]"
1FNLHR,index,"[np.int64(598), np.int64(10654)]"
1FNLHR,bag_color,"['red', 'white']"
GSVJCN,index,"[np.int64(606), np.int64(14995)]"
GSVJCN,bag_color,"['yellow', 'black']"
LYN81Y,index,"[np.int64(609), np.int64(15588)]"
LYN81Y,bag_color,"['yellow', 'blue']"
