Transformed_Feature,Importance,Importance_%,Original_Feature
numerical__class_size,0.4004311359295234,40.04311359295234,class_size
numerical__number_of_siblings,0.27069373318898515,27.069373318898514,number_of_siblings
numerical__attendance_rate,0.055989883337914194,5.59898833379142,attendance_rate
numerical__sleep_duration,0.0010508153367653678,0.10508153367653679,sleep_duration
numerical__hours_per_week,0.10690662643013117,10.690662643013118,hours_per_week
categorical__direct_admission_No,0.014566585883978404,1.4566585883978405,direct_admission
categorical__direct_admission_Yes,0.015168185203505909,1.5168185203505908,direct_admission
categorical__CCA_Arts,0.0007332288089855773,0.07332288089855772,CCA
categorical__CCA_Clubs,0.0008410497462926929,0.08410497462926929,CCA
categorical__CCA_None,0.018146307117139257,1.8146307117139258,CCA
categorical__CCA_Sports,0.0006742898257071211,0.0674289825707121,CCA
categorical__learning_style_Auditory,0.039993706843900204,3.9993706843900205,learning_style
categorical__learning_style_Visual,0.04037341772817655,4.037341772817655,learning_style
categorical__tuition_N,0.0004183794686607886,0.04183794686607886,tuition
categorical__tuition_No,0.012677838284940837,1.2677838284940837,tuition
categorical__tuition_Y,0.00029534677487453106,0.029534677487453108,tuition
categorical__tuition_Yes,0.021039470090518767,2.103947009051877,tuition
